# Target loading - inner_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-12-07  04:46 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   2.16327E+16   1.41112E+00   6.20390E+00   8.76082E+04   2.81045E+03   8.47977E+04   2.20804E+02   2.58965E+03   2.58646E+03   2.23994E+02   9.60875E+01   1.24717E+02  -2.46324E-01   3.80919E-01   1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.26010E+00
 -1.08955E-01   3.98705E+16   1.62563E+00   6.91986E+00   9.12827E+04   3.12103E+03   8.81617E+04   4.88899E+02   2.63213E+03   2.77921E+03   3.41823E+02   2.47982E+02   2.40917E+02  -2.32255E-01   3.72913E-01   1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45037E+00
 -9.82877E-02   7.32240E+16   1.90430E+00   7.68695E+00   9.64145E+04   4.80758E+03   9.16069E+04   8.27783E+02   3.97979E+03   4.20876E+03   5.98813E+02   3.81541E+02   4.46242E+02  -2.18307E-01   3.65370E-01   1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.64834E+00
 -8.82943E-02   1.30775E+17   2.21953E+00   8.35324E+00   9.80614E+04   2.91401E+03   9.51474E+04   4.21230E+02   2.49278E+03   1.98828E+03   9.25731E+02  -4.08936E+02   8.30167E+02  -2.04414E-01   3.58304E-01   1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86484E+00
 -7.90045E-02   2.30230E+17   2.54575E+00   8.87549E+00   1.04975E+05   6.29143E+03   9.86836E+04   2.41478E+03   3.87665E+03   4.69888E+03   1.59255E+03   9.70846E+02   1.44393E+03  -1.90608E-01   3.51735E-01   1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.09631E+00
 -7.03233E-02   4.02332E+17   2.85173E+00   9.18657E+00   1.10999E+05   8.82152E+03   1.02177E+05   3.90972E+03   4.91180E+03   6.06694E+03   2.75458E+03   1.34345E+03   2.56628E+03  -1.77064E-01   3.45597E-01   1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.32519E+00
 -6.24150E-02   6.78591E+17   2.98479E+00   9.15464E+00   1.22224E+05   1.69313E+04   1.05293E+05   7.67611E+03   9.25517E+03   1.22336E+04   4.69769E+03   3.33323E+03   4.34288E+03  -1.63866E-01   3.40004E-01   1.31000E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.57477E+00
 -5.51922E-02   1.15139E+18   3.16943E+00   8.62408E+00   1.24482E+05   1.53417E+04   1.09140E+05   1.11848E+04   4.15694E+03   8.26781E+03   7.07391E+03   4.27023E+03   6.91455E+03  -1.50813E-01   3.35176E-01   1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.84015E+00
 -4.77486E-02   1.87657E+18   3.11048E+00   7.85926E+00   1.06702E+05   1.57532E+04   9.09485E+04   1.43560E+04   1.39725E+03   7.31846E+03   8.43479E+03   5.97478E+03   8.38122E+03  -1.38026E-01   3.33000E-01   1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.12103E+00
 -4.01964E-02   2.80528E+18   2.86749E+00   7.14405E+00   1.13710E+05   2.08289E+04   9.28812E+04   1.73869E+04   3.44191E+03   8.97176E+03   1.18571E+04   5.66180E+03   1.17251E+04  -1.25745E-01   3.33000E-01   1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.40039E+00
 -3.32962E-02   3.78337E+18   2.74237E+00   6.80392E+00   1.19784E+05   2.44861E+04   9.52974E+04   2.15407E+04   2.94542E+03   9.96214E+03   1.45240E+04   7.12964E+03   1.44111E+04  -1.13761E-01   3.33000E-01   1.28352E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.27212E+00   3.67112E+00
 -2.71131E-02   4.61486E+18   2.73420E+00   6.77679E+00   1.31110E+05   3.34896E+04   9.76203E+04   3.02525E+04   3.23713E+03   1.57544E+04   1.77352E+04   1.26414E+04   1.76111E+04  -1.02011E-01   3.33000E-01   1.27733E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.99869E+00   3.98227E+00
 -2.17083E-02   5.20414E+18   2.84588E+00   7.22335E+00   1.38184E+05   3.80792E+04   1.00105E+05   3.36603E+04   4.41894E+03   1.85298E+04   1.95495E+04   1.42802E+04   1.93801E+04  -9.07468E-02   3.33000E-01   1.27193E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.68752E+00   4.35867E+00
 -1.69125E-02   5.72258E+18   3.08179E+00   8.11559E+00   1.43062E+05   4.00411E+04   1.03021E+05   3.60388E+04   4.00229E+03   1.83366E+04   2.17044E+04   1.44878E+04   2.15510E+04  -7.98199E-02   3.33000E-01   1.26713E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.22613E+00   4.65972E+00
 -1.27832E-02   6.83318E+18   3.50661E+00   9.38403E+00   1.55687E+05   4.96368E+04   1.06050E+05   4.50241E+04   4.61271E+03   2.16145E+04   2.80224E+04   1.71786E+04   2.78455E+04  -6.91419E-02   3.33000E-01   1.26300E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.02368E+01   5.11825E+00
 -9.36152E-03   9.02953E+18   4.12148E+00   1.07550E+01   2.03780E+05   9.43732E+04   1.09407E+05   8.89833E+04   5.38987E+03   5.53018E+04   3.90714E+04   5.01185E+04   3.88648E+04  -5.89341E-02   3.33000E-01   1.25958E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.10606E+01   5.53659E+00
 -6.55515E-03   1.23468E+19   4.94311E+00   1.19877E+01   2.48679E+05   1.35557E+05   1.13123E+05   1.19385E+05   1.61717E+04   7.86363E+04   5.69205E+04   6.30846E+04   5.63005E+04  -4.88733E-02   3.33000E-01   1.25678E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.24034E+01   6.15576E+00
 -4.23756E-03   1.65387E+19   6.18768E+00   1.32285E+01   3.13381E+05   1.96141E+05   1.17240E+05   1.84052E+05   1.20889E+04   1.17177E+05   7.89634E+04   1.05552E+05   7.85000E+04  -3.89380E-02   3.33000E-01   1.25446E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.31216E+01   6.54361E+00
 -2.30021E-03   2.09360E+19   7.91315E+00   1.41358E+01   3.66639E+05   2.44664E+05   1.21975E+05   2.33022E+05   1.16416E+04   1.42729E+05   1.01934E+05   1.31534E+05   1.01488E+05  -2.82277E-02   3.33000E-01   1.25252E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.51290E+01   7.64747E+00
