# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  06:36 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94517E-01   1.44769E+16   2.23411E+00   1.67558E+01   3.79923E+04   7.74674E+03   3.02456E+04   1.66982E+02   7.57976E+03   6.79628E+03   9.50456E+02   1.28066E+02   3.89156E+01  -2.46325E-01   1.11508E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.38330E+00
 -3.52409E-01   2.52369E+16   2.54199E+00   1.73678E+01   4.10111E+04   6.99107E+03   3.40200E+04   9.65453E+01   6.89453E+03   6.10243E+03   8.88642E+02   3.70377E+01   5.95076E+01  -2.32256E-01   1.15719E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07818E+00
 -3.07876E-01   4.69686E+16   2.75034E+00   1.69852E+01   4.83024E+04   9.59218E+03   3.87102E+04   2.50056E+02   9.34213E+03   8.37215E+03   1.22003E+03   1.53508E+02   9.65485E+01  -2.18308E-01   1.20172E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.57691E+00
 -2.60278E-01   7.96452E+16   2.98542E+00   1.64446E+01   5.33945E+04   8.79951E+03   4.45950E+04   2.23336E+02   8.57617E+03   7.63484E+03   1.16466E+03   9.00413E+01   1.33295E+02  -2.04415E-01   1.24932E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.59653E+00
 -2.08657E-01   1.30699E+17   3.13472E+00   1.60734E+01   6.16353E+04   9.72568E+03   5.19096E+04   5.43456E+02   9.18223E+03   8.43755E+03   1.28813E+03   3.59576E+02   1.83880E+02  -1.90609E-01   1.30094E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.33367E+00
 -1.64444E-01   2.11020E+17   3.21997E+00   1.54410E+01   5.87222E+04   9.30467E+03   4.94175E+04   1.13186E+03   8.17281E+03   7.91119E+03   1.39348E+03   7.21245E+02   4.10616E+02  -1.77066E-01   1.34430E+00  -2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.01595E+01
 -1.36022E-01   3.37738E+17   3.42900E+00   1.50691E+01   4.22817E+04   9.77008E+03   3.25117E+04   1.90196E+03   7.86812E+03   7.93863E+03   1.83145E+03   1.01673E+03   8.85236E+02  -1.63868E-01   1.36860E+00  -2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.07919E+01
 -1.14850E-01   5.33017E+17   3.79775E+00   1.48407E+01   4.89762E+04   1.11425E+04   3.78336E+04   2.02382E+03   9.11871E+03   8.62109E+03   2.52143E+03   5.99001E+02   1.42482E+03  -1.50815E-01   1.38357E+00  -2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.07059E+01
 -9.59634E-02   8.42412E+17   4.04103E+00   1.42774E+01   5.69794E+04   1.29616E+04   4.40178E+04   4.88882E+03   8.07276E+03   9.78068E+03   3.18089E+03   2.67875E+03   2.21007E+03  -1.38028E-01   1.39692E+00  -2.01308E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.10276E+01
 -7.92256E-02   1.28742E+18   4.34507E+00   1.37912E+01   6.78728E+04   1.66813E+04   5.11915E+04   7.64832E+03   9.03301E+03   1.23139E+04   4.36747E+03   4.36716E+03   3.28116E+03  -1.25747E-01   1.40876E+00  -2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.14628E+01
 -6.45628E-02   1.98149E+18   4.60199E+00   1.32275E+01   8.03659E+04   2.09190E+04   5.94468E+04   1.08516E+04   1.00675E+04   1.45801E+04   6.33894E+03   5.72333E+03   5.12822E+03  -1.13763E-01   1.41913E+00  -1.99087E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.31554E+01   1.14661E+01
