# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  13:18 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   2.73939E+16   2.00622E+00   1.15532E+01   1.00848E+05   2.19449E+04   7.89026E+04   1.72915E+02   2.17720E+04   2.14132E+04   5.31672E+02  -4.11263E+01   2.14042E+02  -2.46325E-01   3.80919E-01  -1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.23860E+00
 -1.08956E-01   4.43359E+16   2.28313E+00   1.27522E+01   1.07797E+05   2.63674E+04   8.14296E+04   5.56531E+02   2.58109E+04   2.56374E+04   7.29994E+02   2.03091E+02   3.53440E+02  -2.32256E-01   3.72914E-01  -1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45189E+00
 -9.82887E-02   7.97586E+16   2.64009E+00   1.41097E+01   1.13246E+05   2.90665E+04   8.41793E+04   7.67896E+02   2.82986E+04   2.79990E+04   1.06751E+03   1.13238E+02   6.54659E+02  -2.18308E-01   3.65371E-01  -1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.61021E+00
 -8.82954E-02   1.38608E+17   3.06645E+00   1.61101E+01   1.10766E+05   2.34325E+04   8.73333E+04   2.02744E+03   2.14051E+04   2.19433E+04   1.48924E+03   8.50477E+02   1.17696E+03  -2.04415E-01   3.58305E-01  -1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86988E+00
 -7.90058E-02   2.36896E+17   3.56939E+00   1.81794E+01   1.26663E+05   3.60238E+04   9.06394E+04   3.42096E+03   3.26028E+04   3.34770E+04   2.54673E+03   1.34987E+03   2.07109E+03  -1.90609E-01   3.51736E-01  -1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.05081E+00
 -7.03247E-02   3.91739E+17   4.15065E+00   2.06722E+01   1.24533E+05   3.05948E+04   9.39381E+04   1.05582E+04   2.00366E+04   2.67248E+04   3.87004E+03   6.98044E+03   3.57773E+03  -1.77066E-01   3.45597E-01  -1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.31198E+00
 -6.24164E-02   6.34630E+17   4.75301E+00   2.30836E+01   1.34366E+05   3.69917E+04   9.73745E+04   1.32707E+04   2.37210E+04   3.06721E+04   6.31955E+03   7.29723E+03   5.97348E+03  -1.63868E-01   3.40005E-01  -1.31001E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.61287E+00
 -5.51936E-02   9.77637E+17   5.37943E+00   2.52575E+01   1.44762E+05   4.25876E+04   1.02175E+05   2.75695E+04   1.50181E+04   3.29202E+04   9.66738E+03   1.81212E+04   9.44828E+03  -1.50815E-01   3.35176E-01  -1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.80866E+00
 -4.77499E-02   1.45733E+18   5.99328E+00   2.74634E+01   1.30392E+05   4.62795E+04   8.41124E+04   4.00283E+04   6.25116E+03   3.47697E+04   1.15097E+04   2.86098E+04   1.14185E+04  -1.38028E-01   3.33000E-01  -1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.09547E+00
 -4.01978E-02   1.99055E+18   6.60897E+00   2.97938E+01   1.51798E+05   6.76105E+04   8.41878E+04   5.95307E+04   8.07988E+03   5.20224E+04   1.55881E+04   4.40604E+04   1.54702E+04  -1.25747E-01   3.33000E-01  -1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.43327E+00
 -3.32974E-02   2.72001E+18   7.25137E+00   3.18651E+01   1.87652E+05   1.02489E+05   8.51639E+04   9.26202E+04   9.86829E+03   8.11390E+04   2.13495E+04   7.14147E+04   2.12055E+04  -1.13763E-01   3.33000E-01  -1.28352E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.27212E+00   3.60100E+00
 -2.71141E-02   3.74273E+18   8.00532E+00   3.40856E+01   2.15225E+05   1.28565E+05   8.66603E+04   1.14108E+05   1.44570E+04   9.87536E+04   2.98109E+04   8.45075E+04   2.96000E+04  -1.02013E-01   3.33000E-01  -1.27734E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.99869E+00   4.01642E+00
 -2.17092E-02   4.80506E+18   9.07369E+00   3.71611E+01   2.73580E+05   1.84575E+05   8.90043E+04   1.65556E+05   1.90198E+04   1.46249E+05   3.83259E+04   1.27507E+05   3.80485E+04  -9.07488E-02   3.33000E-01  -1.27193E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.68752E+00   4.32885E+00
 -1.69132E-02   6.02602E+18   1.07663E+01   4.11169E+01   3.53286E+05   2.60954E+05   9.23319E+04   2.39843E+05   2.11115E+04   2.11239E+05   4.97155E+04   1.90435E+05   4.94075E+04  -7.98216E-02   3.33000E-01  -1.26713E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.22613E+00   4.56641E+00
 -1.27837E-02   7.53195E+18   1.36612E+01   4.61953E+01   4.97520E+05   4.00770E+05   9.67501E+04   3.73044E+05   2.77264E+04   3.34949E+05   6.58208E+04   3.07627E+05   6.54163E+04  -6.91433E-02   3.33000E-01  -1.26301E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.02368E+01   5.11851E+00
 -9.36185E-03   9.84836E+18   1.83007E+01   5.16900E+01   7.90851E+05   6.88029E+05   1.02822E+05   6.59488E+05   2.85410E+04   5.96181E+05   9.18484E+04   5.68056E+05   9.14320E+04  -5.89351E-02   3.33000E-01  -1.25958E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.10606E+01   5.52398E+00
 -6.55532E-03   1.29935E+19   2.49963E+01   5.70507E+01   1.00855E+06   8.98164E+05   1.10389E+05   8.50148E+05   4.80163E+04   7.71031E+05   1.27133E+05   7.23715E+05   1.26433E+05  -4.88739E-02   3.33000E-01  -1.25678E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.24034E+01   6.24761E+00
 -4.23761E-03   1.73097E+19   3.38440E+01   6.13532E+01   1.59896E+06   1.47939E+06   1.19564E+05   1.42799E+06   5.14073E+04   1.30137E+06   1.78020E+05   1.25072E+06   1.77270E+05  -3.89382E-02   3.33000E-01  -1.25446E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.31216E+01   6.57799E+00
 -2.30020E-03   2.23944E+19   4.55847E+01   6.46336E+01   2.63678E+06   2.50668E+06   1.30092E+05   2.42331E+06   8.33703E+04   2.25987E+06   2.46818E+05   2.17771E+06   2.45602E+05  -2.82276E-02   3.33000E-01  -1.25252E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.51290E+01   7.48157E+00
 -7.09720E-04   2.75013E+19   6.03389E+01   6.64337E+01   4.05592E+06   3.91533E+06   1.40589E+05   3.80673E+06   1.08609E+05   3.59349E+06   3.21848E+05   3.48646E+06   3.20263E+05  -1.11899E-02   3.33000E-01  -1.25093E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.93259E+01   9.58609E+00
  7.61855E-04   2.95474E+19   6.30092E+01   6.64676E+01   4.25608E+06   4.10666E+06   1.49414E+05   3.98069E+06   1.25976E+05   3.75908E+06   3.47585E+05   3.63494E+06   3.45747E+05   2.63050E-04   3.33000E-01  -1.24946E+00   1.48722E+08   2.58799E+08   1.78146E+07   2.63673E+01   1.04103E+01
  2.59769E-03   3.08342E+19   6.42662E+01   6.66037E+01   4.52244E+06   4.36592E+06   1.56524E+05   4.21669E+06   1.49229E+05   3.99904E+06   3.66877E+05   3.85199E+06   3.64700E+05   8.96917E-04   3.33000E-01  -1.24762E+00   1.41422E+08   2.40479E+08   1.66447E+07   2.07858E+01   7.55705E+00
  5.02028E-03   3.23263E+19   6.42540E+01   6.65397E+01   4.57561E+06   4.41098E+06   1.64627E+05   4.22792E+06   1.83054E+05   4.02825E+06   3.82728E+05   3.84787E+06   3.80058E+05   1.73343E-03   3.33000E-01  -1.24520E+00   1.14132E+08   1.90432E+08   1.31092E+07   1.90506E+01   6.64978E+00
  7.96860E-03   3.28337E+19   6.27348E+01   6.64597E+01   4.70757E+06   4.53790E+06   1.69672E+05   4.39984E+06   1.38055E+05   4.15546E+06   3.82434E+05   4.01942E+06   3.80420E+05   2.75882E-03   3.33000E-01  -1.24225E+00   8.98118E+07   1.47090E+08   1.00452E+07   1.79863E+01   6.24810E+00
  1.14136E-02   3.28559E+19   6.00175E+01   6.58325E+01   4.41552E+06   4.24451E+06   1.71007E+05   4.08487E+06   1.59640E+05   3.87777E+06   3.66740E+05   3.72046E+06   3.64411E+05   3.96711E-03   3.33000E-01  -1.23881E+00   7.14994E+07   1.14930E+08   7.61132E+06   1.73160E+01   5.90441E+00
  1.54435E-02   3.23549E+19   5.67305E+01   6.48838E+01   3.98932E+06   3.81977E+06   1.69549E+05   3.69213E+06   1.27636E+05   3.48597E+06   3.33801E+05   3.36020E+06   3.31939E+05   5.33417E-03   3.33000E-01  -1.23478E+00   5.86185E+07   9.25459E+07   5.76219E+06   1.66163E+01   5.56272E+00
  2.00039E-02   3.10426E+19   5.31832E+01   6.36043E+01   3.69443E+06   3.52750E+06   1.66931E+05   3.39422E+06   1.33276E+05   3.21374E+06   3.13754E+05   3.08241E+06   3.11809E+05   6.83165E-03   3.33000E-01  -1.23022E+00   4.90521E+07   7.60929E+07   4.72898E+06   1.59868E+01   5.26618E+00
  2.49162E-02   2.95262E+19   4.93660E+01   6.18515E+01   3.19450E+06   3.02956E+06   1.64941E+05   2.90782E+06   1.21745E+05   2.73342E+06   2.96144E+05   2.61345E+06   2.94368E+05   8.44089E-03   3.33000E-01  -1.22531E+00   4.24812E+07   6.47490E+07   4.09120E+06   1.51504E+01   4.91994E+00
  3.02298E-02   2.81626E+19   4.53737E+01   5.95812E+01   2.71823E+06   2.55706E+06   1.61173E+05   2.43995E+06   1.17113E+05   2.29818E+06   2.58884E+05   2.18277E+06   2.57176E+05   1.01678E-02   3.33000E-01  -1.21999E+00   3.71001E+07   5.55862E+07   3.31211E+06   1.48968E+01   4.80757E+00
  3.59997E-02   2.67795E+19   4.16876E+01   5.73205E+01   2.29438E+06   2.13717E+06   1.57215E+05   2.03198E+06   1.05187E+05   1.90747E+06   2.29700E+05   1.80381E+06   2.28165E+05   1.20042E-02   3.33000E-01  -1.21422E+00   3.25614E+07   4.79734E+07   2.74373E+06   1.46631E+01   4.66567E+00
  4.20667E-02   2.48428E+19   3.82505E+01   5.50702E+01   1.94665E+06   1.79565E+06   1.51000E+05   1.70522E+06   9.04317E+04   1.58900E+06   2.06653E+05   1.49989E+06   2.05333E+05   1.39079E-02   3.33000E-01  -1.20816E+00   2.92027E+07   4.23161E+07   2.42058E+06   1.42602E+01   4.48252E+00
  4.84256E-02   2.34894E+19   3.49804E+01   5.25965E+01   1.64812E+06   1.50136E+06   1.46768E+05   1.41611E+06   8.52426E+04   1.31946E+06   1.81892E+05   1.23547E+06   1.80648E+05   1.58526E-02   3.33000E-01  -1.20180E+00   2.64808E+07   3.77594E+07   2.07352E+06   1.37402E+01   4.30120E+00
  5.50951E-02   2.17714E+19   3.18786E+01   4.99388E+01   1.36899E+06   1.22720E+06   1.41791E+05   1.16064E+06   6.65558E+04   1.06921E+06   1.57983E+05   1.00363E+06   1.57012E+05   1.78612E-02   3.33000E-01  -1.19513E+00   2.38462E+07   3.34713E+07   1.78172E+06   1.36170E+01   4.19212E+00
  6.18884E-02   2.00358E+19   2.90362E+01   4.72540E+01   1.14539E+06   1.00865E+06   1.36737E+05   9.51824E+05   5.68278E+04   8.72396E+05   1.36256E+05   8.16397E+05   1.35427E+05   1.99113E-02   3.33000E-01  -1.18833E+00   2.14868E+07   2.97022E+07   1.53444E+06   1.35574E+01   4.15132E+00
  6.88721E-02   1.81109E+19   2.64748E+01   4.45372E+01   8.81776E+05   7.51425E+05   1.30351E+05   7.01297E+05   5.01285E+04   6.37113E+05   1.14312E+05   5.87716E+05   1.13581E+05   2.19404E-02   3.33000E-01  -1.18135E+00   1.92530E+07   2.62273E+07   1.30401E+06   1.30261E+01   3.95592E+00
  7.59384E-02   1.66117E+19   2.38838E+01   4.12461E+01   7.34344E+05   6.09517E+05   1.24827E+05   5.63193E+05   4.63241E+04   5.09610E+05   9.99067E+04   4.63962E+05   9.92309E+04   2.39527E-02   3.33000E-01  -1.17428E+00   1.72132E+07   2.31186E+07   1.14225E+06   1.29381E+01   3.88965E+00
  8.29577E-02   1.48503E+19   2.12060E+01   3.73952E+01   5.91985E+05   4.72259E+05   1.19726E+05   4.36261E+05   3.59980E+04   3.92406E+05   7.98526E+04   3.56933E+05   7.93274E+04   2.59403E-02   3.33000E-01  -1.16726E+00   1.52230E+07   2.01728E+07   9.37775E+05   1.28181E+01   3.82620E+00
  8.99166E-02   1.30384E+19   1.83349E+01   3.32549E+01   4.35740E+05   3.22308E+05   1.13432E+05   2.98915E+05   2.33929E+04   2.57813E+05   6.44948E+04   2.34761E+05   6.41536E+04   2.78568E-02   3.33000E-01  -1.16031E+00   1.26701E+07   1.65785E+07   7.55868E+05   1.26502E+01   3.75751E+00
